text,category
"kuna foleni kubwa kila siku kwa sababu ya barabara nyembamba",Roads
"tuta la kuzuia mafuriko limebomoka",Roads
"barabara ya mtaa imegeuka kuwa dimbwi la maji wakati wa mvua",Roads
"kivuko cha mto hakina daraja salama",Roads
"barabara haijawahi kupimwa tangu ilipojengwa",Roads
"kuna miamba mikubwa iliyoachwa katikati ya barabara",Roads
"taa za barabarani zimeharibika muda mrefu hatari kwa madereva",Roads
"ujenzi wa barabara umesimama katikati bila maelezo",Roads
"barabara ya shule ina mashimo hatari kwa watoto",Roads
"Deep pothole on the main road causing accidents",Roads
"Road damaged after heavy rains, impassable",Roads
"Bridge is collapsing and unsafe for vehicles",Roads
"No streetlights on the main road at night",Roads
"construction debris left blocking the road",Roads
"road markings are worn out and invisible at night",Roads
"road construction abandoned halfway for months",Roads
"heavy traffic due to narrow, poorly maintained road",Roads
"drainage blocked causing road to flood every rainy season",Roads
"guardrail on the bridge is broken and unsafe",Roads
"takataka hazijaokotwa kwa wiki mbili",Sanitation
"uchafu mwingi umejaa mtaani",Sanitation
"dampo la taka limejaa linanuka sana",Sanitation
"maji taka yanatiririka mitaani",Sanitation
"choo cha umma ni kichafu sana",Sanitation
"takataka katika barabara kuu",Sanitation
"magari yanayohusika na uchafu hayaji kuchukua uchafu",Sanitation
"lundo la taka limejaa karibu na nyumba zetu",Sanitation
"harufu mbaya ya taka inasumbua wakazi wa mtaa",Sanitation
"mfumo wa maji taka umeziba unatiririsha uchafu barabarani",Sanitation
"panya na nzi wamejaa kwenye lundo la taka",Sanitation
"taka za hospitali zinatupwa ovyo karibu na makazi",Sanitation
"shimo la maji taka limejaa linazagaa mtaani",Sanitation
"hakuna huduma ya kuokota takataka mtaa wetu",Sanitation
"uchafu umejaa sokoni hakuna anayeusafisha",Sanitation
"choo cha shule ni kichafu sana kinaeneza magonjwa",Sanitation
"taka za plastiki zimejaa mtoni zinaharibu mazingira",Sanitation
"watu wanatupa taka ovyo kwenye eneo la wazi",Sanitation
"mfereji wa maji machafu umeziba unaeneza harufu mbaya",Sanitation
"lundo kubwa la takataka limekaa hapo kwa mwezi mzima",Sanitation
"uchafu wa machinjio unatupwa karibu na makazi ya watu",Sanitation
"vyoo vya jumuiya havijasafishwa kwa muda mrefu",Sanitation
"taka za viwandani zinachafua mazingira ya makazi",Sanitation
"maji machafu yanatoka nje ya mfumo wa majitaka",Sanitation
"lundo la taka linazuia njia ya watembea kwa miguu",Sanitation
"harufu ya kinyesi inatoka kwenye mfumo wa maji taka ulioziba",Sanitation
"kampuni ya usafi haijafika mtaani kwa muda mrefu",Sanitation
"uchafu unaozunguka soko unaeneza magonjwa",Sanitation
"mabaki ya chakula yanaozea mitaani yakivuta wadudu",Sanitation
"jamii inaathirika na uchafu unaosababisha magonjwa ya kuhara",Sanitation
"vyombo vya kuhifadhia taka vimeharibika vinavuja",Sanitation
"taka za matibabu zinaonekana zikitupwa hovyo",Sanitation
"barabara imejaa taka baada ya soko la wiki",Sanitation
"tairi na vifaa chakavu vimetupwa kwenye eneo la wazi",Sanitation
"mfumo mzima wa usafi wa mazingira umeshindwa kufanya kazi",Sanitation
"Garbage not collected for two weeks",Sanitation
"Overflowing trash bins attracting flies and rats",Sanitation
"Sewage overflow near residential area",Sanitation
"public toilets are extremely dirty and unmanaged",Sanitation
"illegal dumping site near the school",Sanitation
"drainage system blocked causing bad smell",Sanitation
"medical waste dumped in a residential neighborhood",Sanitation
"market area covered in rotting garbage",Sanitation
"no waste collection service in our area for a month",Sanitation
"blocked sewage line causing waterborne disease risk",Sanitation
"hakuna dawa zahanati ya mtaa wetu",Health
"muuguzi hayupo kituo cha afya kwa wiki mbili",Health
"kituo cha afya kimefungwa bila taarifa",Health
"foleni ndefu sana hospitalini kupata huduma",Health
"daktari hayupo zahanati tangu wiki iliyopita",Health
"hospitali haina vifaa vya kutosha kuwahudumia wagonjwa",Health
"chanjo za watoto hazipatikani kituo cha afya",Health
"wodi za hospitali zimejaa wagonjwa wanalala chini",Health
"huduma ya dharura haipatikani usiku zahanati yetu",Health
"gari la wagonjwa halipo linapohitajika",Health
"vyumba vya kujifungulia havina vifaa vya kutosha",Health
"wafanyakazi wa afya wanadai malipo hawajalipwa",Health
"dawa za malaria hazipatikani zahanati",Health
"hakuna daktari wa meno kituo cha afya cha mtaa",Health
"maabara ya hospitali imeharibika hakuna vipimo",Health
"No medicine available at the local clinic",Health
"Nurse absent from health center for two weeks",Health
"Long queues at the hospital for basic services",Health
"Ambulance not available during emergency",Health
"Health center closed without any notice",Health
"Maternity ward lacks basic equipment",Health
"walimu hawapo shuleni kwa muda mrefu",Education
"madarasa yamejaa wanafunzi hakuna nafasi ya kutosha",Education
"vitabu vya kiada havipatikani shuleni",Education
"shule haina choo cha kutosha kwa wanafunzi",Education
"paa la darasa limevuja mvua ikinyesha",Education
"walimu wa sayansi hawapo shule yetu",Education
"wanafunzi wanakaa chini hakuna madawati ya kutosha",Education
"shule haina maktaba wala vifaa vya kujifunzia",Education
"ualimu duni unaathiri matokeo ya wanafunzi",Education
"jengo la shule ni bovu linahatarisha wanafunzi",Education
"hakuna walimu wa kutosha shule ya sekondari",Education
"mtihani umeahirishwa bila taarifa za kutosha",Education
"shule haina umeme wanafunzi wanasoma gizani",Education
"chakula cha mchana shuleni hakitoshi wanafunzi",Education
"vyoo vya shule ni vichafu na hatari kwa afya",Education
"Teachers frequently absent from school",Education
"Classrooms overcrowded with insufficient desks",Education
"School textbooks are not available for students",Education
"School building roof is leaking during rains",Education
"No qualified science teachers at the school",Education
"School lacks clean toilets for students",Education
"tumepoteza mtoto kwa sababu ya kukosa huduma za dharura",Health
"zahanati yetu haina umeme wa kuendesha vifaa vya matibabu",Health
"wagonjwa wa kisukari hawapati dawa zao kwa wakati",Health
"kliniki ya mama na mtoto imefungwa muda mrefu",Health
"wafanyakazi wa afya ni wachache mno kituo chetu",Health
"hakuna vipimo vya damu kituo cha afya cha mtaa",Health
"vitanda vya hospitali havitoshi wagonjwa wengi",Health
"huduma ya macho haipatikani hospitali ya wilaya",Health
"gharama za matibabu zimepanda bila maelezo",Health
"wagonjwa wa akili hawapati huduma stahiki",Health
"chumba cha upasuaji hakina vifaa vya kutosha",Health
"zahanati imeshindwa kutoa huduma za dharura usiku",Health
"watoto wachanga wanakosa chanjo muhimu",Health
"daktari bingwa hayupo hospitali ya mkoa",Health
"Clinic has run out of essential medicines",Health
"Health workers on strike, no services available",Health
"Patients sleeping on the floor due to bed shortage",Health
"Dental services unavailable at district hospital",Health
"Mental health services severely lacking in our area",Health
"walimu wanachelewa kufundisha bila sababu",Education
"mitihani ya taifa imeahirishwa mara kwa mara",Education
"wanafunzi wanasoma nje kwa sababu ya uhaba wa madarasa",Education
"shule haina mwalimu mkuu kwa muda mrefu",Education
"vifaa vya maabara ya sayansi havipo shuleni",Education
"walimu wa hisabati wamehama hawajabadilishwa",Education
"wanafunzi wenye ulemavu hawana msaada wa kutosha shuleni",Education
"ada za shule zimeongezeka bila taarifa kwa wazazi",Education
"shule ina uhaba mkubwa wa walimu wa lugha",Education
"jengo jipya la shule limesimama ujenzi kwa muda",Education
"wanafunzi hawana usafiri wa kwenda shule",Education
"chakula cha shule kimekuwa cha hovyo kwa muda",Education
"maktaba ya shule haina vitabu vya kutosha",Education
"walimu hawajapewa mafunzo mapya ya somo",Education
"Exam results delayed without explanation",Education
"Students studying outdoors due to classroom shortage",Education
"No head teacher assigned to the school for months",Education
"Science lab equipment missing at secondary school",Education
"School fees increased without notifying parents",Education
